size,     CPU,     GPU,   2 GPU,   MATLAB
   1, 0.00000, 0.00024, 0.00053, 0.000000
   5, 0.00000, 0.00024, 0.00264, 0.000010
  10, 0.00000, 0.00024, 0.00259, 0.000022
  15, 0.00001, 0.00023, 0.00242, 0.000041
  25, 0.00002, 0.00024, 0.00238, 0.000103
  50, 0.00007, 0.00024, 0.00258, 0.000388 
  75, 0.00016, 0.00006, 0.00225, 0.000873
 100, 0.00029, 0.00006, 0.00013, 0.001585
 150, 0.00065, 0.00025, 0.00183, 0.003577 
 250, 0.00178, 0.00025, 0.00053, 0.010001 
 500, 0.00703, 0.00031, 0.00246, 0.039800 
1000, 0.02807, 0.00057, 0.00092, 0.170491 
2500, 0.18638, 0.00462, 0.00533, 1.173275 
5000, 0.74720, 0.01071, 0.01286, 4.879652 
7500, 1.59756, 0.02502, 0.02840, 10.244163 
